iter	Passed	Remaining
0	4	4256
1	8	4137
2	10	3644
3	15	3775
4	19	3814
5	23	3847
6	27	3903
7	31	3910
8	35	3893
9	36	3645
10	40	3649
11	44	3683
12	48	3701
13	53	3760
14	57	3780
15	61	3811
16	66	3824
17	70	3834
18	74	3836
19	79	3872
20	83	3910
21	88	3918
22	89	3822
23	93	3814
24	97	3821
25	102	3826
26	106	3826
27	109	3816
28	113	3797
29	117	3814
30	121	3807
31	125	3807
32	130	3809
33	133	3792
34	135	3726
35	138	3707
36	142	3702
37	145	3689
38	150	3717
39	154	3712
40	159	3719
41	162	3706
42	165	3693
43	169	3681
44	180	3832
45	183	3815
46	187	3799
47	190	3770
48	192	3744
49	195	3718
50	198	3692
51	201	3665
52	203	3638
53	206	3615
54	209	3593
55	211	3571
56	214	3549
57	217	3528
58	219	3507
59	222	3487
60	225	3472
61	226	3432
62	229	3413
63	232	3395
64	233	3365
65	236	3347
66	239	3332
67	241	3316
68	244	3300
69	247	3284
70	249	3269
71	252	3255
72	255	3243
73	258	3229
74	260	3216
75	263	3202
76	266	3190
77	268	3178
78	271	3170
79	274	3158
80	277	3145
81	279	3133
82	282	3121
83	285	3113
84	288	3102
85	290	3091
86	293	3080
87	296	3069
88	299	3060
89	301	3051
90	304	3041
91	307	3031
92	308	3012
93	311	3003
94	314	2995
95	317	2985
96	319	2976
97	322	2966
98	324	2957
99	327	2949
100	330	2941
101	333	2933
102	335	2924
103	338	2917
104	341	2911
105	345	2910
106	348	2909
107	351	2906
108	355	2904
109	359	2906
110	364	2916
111	368	2917
112	372	2920
113	376	2924
114	380	2928
115	383	2925
116	387	2921
117	390	2917
118	393	2910
119	396	2904
120	399	2899
121	403	2901
122	406	2895
123	408	2888
124	411	2883
125	413	2870
126	416	2862
127	419	2857
128	422	2850
129	425	2845
130	427	2838
131	430	2833
132	432	2820
133	435	2816
134	439	2813
135	442	2808
136	445	2803
137	447	2798
138	450	2793
139	453	2786
140	456	2780
141	459	2774
142	461	2768
143	464	2763
144	467	2757
145	470	2750
146	472	2743
147	473	2728
148	476	2722
149	479	2718
