timestamps,TP9,AF7,AF8,TP10,Right AUX
1714024952.222,-20.508,-22.949,-21.973,-33.691,0.000
1714024952.226,-19.531,-22.461,-23.926,-28.320,0.000
1714024952.230,-21.484,-20.996,-22.461,-24.414,0.000
1714024952.234,-25.391,-20.020,-26.367,-30.762,0.000
1714024952.238,-22.461,-21.973,-23.438,-22.461,0.000
1714024952.242,-24.902,-29.297,-20.996,-19.043,0.000
1714024952.246,-23.438,-30.762,-22.461,-21.973,0.000
1714024952.250,-19.043,-32.715,-32.227,-23.926,0.000
1714024952.254,-26.367,-27.832,-33.691,-25.879,0.000
1714024952.257,-27.344,-18.555,-22.461,-13.672,0.000
1714024952.261,-20.996,-22.949,-16.113,-15.625,0.000
1714024952.265,-27.344,-29.297,-22.949,-29.785,0.000
1714024952.269,-35.156,-28.809,-31.738,-38.086,0.000
1714024952.273,-37.109,-29.297,-29.785,-39.551,0.000
1714024952.277,-41.504,-34.668,-26.855,-40.039,0.000
1714024952.280,-48.340,-36.133,-26.855,-41.016,0.000
1714024952.284,-46.387,-33.203,-30.273,-41.016,0.000
1714024952.288,-38.574,-30.762,-24.902,-32.227,0.000
1714024952.292,-37.109,-34.668,-22.461,-31.250,0.000
1714024952.296,-38.574,-38.086,-28.809,-35.645,0.000
1714024952.300,-43.945,-32.227,-27.832,-40.527,0.000
1714024952.304,-41.992,-33.203,-27.832,-37.598,0.000
1714024952.308,-41.992,-37.598,-28.809,-30.762,0.000
1714024952.312,-40.527,-34.668,-27.344,-32.715,0.000
1714024952.315,-35.645,-30.273,-22.461,-39.062,0.000
1714024952.319,-35.156,-30.762,-19.531,-40.039,0.000
1714024952.323,-36.621,-33.203,-29.785,-37.598,0.000
1714024952.327,-36.133,-34.180,-38.086,-38.574,0.000
1714024952.331,-29.785,-24.414,-30.273,-34.668,0.000
1714024952.335,-21.484,-18.555,-20.996,-29.297,0.000
1714024952.338,-17.578,-20.508,-26.367,-18.066,0.000
1714024952.342,-16.113,-17.578,-29.297,-9.277,0.000
1714024952.346,-6.348,-16.602,-29.785,-15.137,0.000
1714024952.350,-8.301,-25.879,-24.902,-17.578,0.000
1714024952.354,-29.785,-32.715,-20.020,-26.367,0.000
1714024952.358,-34.668,-27.832,-23.926,-36.133,0.000
1714024952.361,-23.926,-28.320,-21.484,-32.227,0.000
1714024952.365,-22.949,-33.203,-13.672,-29.785,0.000
1714024952.369,-25.879,-32.715,-12.695,-30.762,0.000
1714024952.373,-28.320,-32.227,-16.113,-23.438,0.000
1714024952.377,-29.785,-32.715,-18.066,-22.461,0.000
1714024952.380,-29.297,-30.273,-26.855,-23.926,0.000
1714024952.384,-31.738,-26.367,-26.367,-19.531,0.000
1714024952.388,-44.922,-27.344,-15.137,-27.344,0.000
1714024952.392,-48.828,-27.832,-19.043,-31.738,0.000
1714024952.396,-47.852,-25.879,-25.879,-36.621,0.000
1714024952.400,-47.852,-16.602,-21.484,-38.574,0.000
1714024952.404,-50.293,-22.949,-24.902,-41.992,0.000
1714024952.409,-62.012,-34.668,-29.297,-59.570,0.000
1714024952.413,-62.988,-33.203,-32.715,-74.707,0.000
1714024952.417,-73.242,-37.109,-24.902,-79.102,0.000
1714024952.421,-86.914,-37.598,-18.066,-83.984,0.000
1714024952.425,-94.727,-39.551,-14.648,-97.168,0.000
1714024952.429,-108.887,-43.457,-10.254,-109.863,0.000
1714024952.433,-120.117,-43.945,-12.695,-112.305,0.000
1714024952.437,-122.559,-41.016,-9.277,-120.605,0.000
1714024952.440,-128.906,-41.016,-4.883,-129.883,0.000
1714024952.444,-131.836,-40.039,-0.488,-127.441,0.000
1714024952.448,-125.000,-31.250,11.719,-128.906,0.000
1714024952.452,-124.023,-29.297,18.066,-139.648,0.000
1714024952.457,-120.605,-31.250,17.090,-141.113,0.000
1714024952.461,-115.723,-37.109,24.414,-123.047,0.000
1714024952.465,-114.746,-39.551,24.414,-113.770,0.000
1714024952.468,-111.328,-36.621,13.184,-112.305,0.000
1714024952.472,-110.840,-40.527,5.371,-95.215,0.000
1714024952.476,-103.027,-38.086,8.789,-79.590,0.000
1714024952.480,-90.332,-30.762,7.812,-80.566,0.000
1714024952.484,-83.984,-33.691,0.000,-83.496,0.000
1714024952.488,-77.148,-38.086,-8.301,-75.684,0.000
1714024952.492,-67.871,-39.062,-12.695,-52.246,0.000
1714024952.496,-59.082,-38.086,-9.766,-48.340,0.000
1714024952.500,-51.270,-33.691,-15.625,-52.734,0.000
1714024952.506,-49.316,-37.109,-26.855,-48.828,0.000
1714024952.510,-41.016,-38.086,-25.391,-36.621,0.000
1714024952.514,-33.203,-30.762,-27.832,-32.715,0.000
1714024952.518,-24.902,-35.645,-36.133,-39.551,0.000
1714024952.522,-23.438,-36.133,-36.133,-35.645,0.000
1714024952.526,-20.508,-30.762,-35.645,-25.391,0.000
1714024952.530,-18.066,-35.645,-32.227,-19.043,0.000
1714024952.534,-17.578,-33.691,-32.715,-15.625,0.000
1714024952.538,-12.207,-30.762,-38.086,-13.672,0.000
1714024952.542,-17.578,-37.598,-40.039,-17.578,0.000
1714024952.545,-19.043,-42.480,-44.434,-19.531,0.000
1714024952.549,-15.625,-37.598,-44.922,-15.625,0.000
1714024952.553,-15.137,-34.668,-44.922,-13.672,0.000
1714024952.557,-17.090,-36.621,-42.969,-12.695,0.000
1714024952.561,-21.484,-36.621,-43.457,-11.719,0.000
1714024952.565,-12.695,-34.180,-41.992,-6.836,0.000
1714024952.568,-7.812,-31.250,-32.227,-16.113,0.000
1714024952.572,-6.836,-25.391,-26.367,-15.137,0.000
