Timestamp,Event
1714023866.1318426,cooldown
1714023871.1330652,edm
1714023877.2765338,cooldown
1714023882.276935,rap
1714023892.4554002,cooldown
1714023897.4565463,pop
1714023904.2264028,cooldown
1714023909.227049,cls
1714023915.1456797,cooldown
1714023920.1467893,pop
1714023927.805647,cooldown
1714023932.8064013,pop
1714023939.5854294,cooldown
1714023944.5866096,edm
1714023951.816076,cooldown
1714023956.8162327,pop
1714023962.625855,cooldown
1714023967.6269934,edm
1714023974.8554537,cooldown
1714023979.8562276,rap
1714023988.3454537,cooldown
1714023993.3464622,edm
1714024000.576188,cooldown
1714024005.5765703,rap
1714024015.7554443,cooldown
1714024020.756181,pop
1714024027.5353677,cooldown
1714024032.5362198,cls
1714024041.696515,cooldown
1714024046.6968825,edm
1714024052.8454769,cooldown
1714024057.8464067,edm
